"id";"name";"active";"description";"created_at";"updated_at"
63;"Quality Analyst Supervisor";1;"";"2021-09-12 14:56:45.497070";"2021-09-12 14:56:45.497071"
64;"Repossessor";1;"";"2021-09-12 14:56:45.497072";"2021-09-12 14:56:45.497073"
65;"Risk And Compliance Officer";1;"";"2021-09-12 14:56:45.497074";"2021-09-12 14:56:45.497075"
66;"Risk and Compliance Staff";1;"";"2021-09-12 14:56:45.497076";"2021-09-12 14:56:45.497076"
67;"SG Admin Buffer";1;"";"2021-09-12 14:56:45.497077";"2021-09-12 14:56:45.497078"
68;"SG Callouts";1;"";"2021-09-12 14:56:45.497079";"2021-09-12 14:56:45.497079"
69;"SG GOA";1;"";"2021-09-12 14:56:45.497080";"2021-09-12 14:56:45.497081"
70;"SG MOR";1;"";"2021-09-12 14:56:45.497082";"2021-09-12 14:56:45.497083"
71;"SG MOR Buffer";1;"";"2021-09-12 14:56:45.497083";"2021-09-12 14:56:45.497084"
72;"SG Team Manager";1;"";"2021-09-12 14:56:45.497085";"2021-09-12 14:56:45.497086"
73;"Skip Tracer";1;"";"2021-09-12 14:56:45.497087";"2021-09-12 14:56:45.497087"
74;"Team Leader";1;"";"2021-09-12 14:56:45.497088";"2021-09-12 14:56:45.497089"
75;"Team Manager";1;"";"2021-09-12 14:56:45.497090";"2021-09-12 14:56:45.497090"
76;"Tele Credit Investigator";1;"";"2021-09-12 14:56:45.497091";"2021-09-12 14:56:45.497092"
77;"Telesales";1;"";"2021-09-12 14:56:45.497110";"2021-09-12 14:56:45.497110"
78;"Training Officer";1;"";"2021-09-12 14:56:45.497111";"2021-09-12 14:56:45.497112"
79;"Trainor";1;"";"2021-09-12 14:56:45.497113";"2021-09-12 14:56:45.497113"
80;"Vismin Junior Analyst";1;"";"2021-09-12 14:56:45.497114";"2021-09-12 14:56:45.497115"
81;"Vismin Team Manager";1;"";"2021-09-12 14:56:45.497116";"2021-09-12 14:56:45.497117"
82;"undefined";1;"";"2021-09-13 11:53:51.691895";"2021-09-13 11:53:51.691902"
