"id";"name";"paymentmodeid";"startdate";"enddate";"active";"year";"created_at";"updated_at"
50;"2021 JUL 2ND WK";1;"2021-07-08";"2021-07-14";0;2021;"2021-09-14 15:01:03.293729";"2021-09-14 15:01:03.293729"
51;"2021 JUL 3RD WK";1;"2021-07-15";"2021-07-21";0;2021;"2021-09-14 15:01:46.454606";"2021-09-14 15:01:46.454606"
52;"2021 JUL 4TH WK";1;"2021-07-22";"2021-07-28";0;2021;"2021-09-14 15:02:13.042771";"2021-09-14 15:02:13.042771"
53;"2021 AUG 1ST WK";1;"2021-07-29";"2021-08-04";0;2021;"2021-09-14 15:02:47.831173";"2021-09-14 15:02:47.831173"
54;"2021 AUG 2ND WK";1;"2021-08-05";"2021-08-11";0;2021;"2021-09-14 15:03:07.980326";"2021-09-14 15:03:07.980326"
55;"2021 AUG 3RD WK";1;"2021-08-12";"2021-08-18";0;2021;"2021-09-14 15:03:34.532927";"2021-09-14 15:03:34.532927"
56;"2021 AUG 4TH WK";1;"2021-08-19";"2021-08-25";0;2021;"2021-09-14 15:04:06.925029";"2021-09-14 15:04:06.925029"
57;"2021 SEP 1ST WK";1;"2021-08-26";"2021-09-01";0;2021;"2021-09-14 15:04:28.538756";"2021-09-14 15:04:28.538756"
58;"2021 SEP 2ND WK";1;"2021-09-09";"2021-09-15";0;2021;"2021-09-14 15:04:53.914819";"2021-09-14 15:04:53.914819"
59;"2021 SEP 3RD WK";1;"2021-09-16";"2021-09-22";1;2021;"2021-09-14 15:05:11.773230";"2021-09-16 14:35:44.381730"
